round,worker_name,hostname,mode,ratio_used,allocated_samples,trained_samples,cpu_util,gpu_util,throughput,memory_headroom,time,train_seconds,total_seconds,request_seconds,samples_per_sec_train,samples_per_sec_total,iteration_time,loss,acc,shard_zip_bytes,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,avg_gpu_util_percent,max_gpu_util_percent,avg_gpu_memory_used_mb,max_gpu_memory_used_mb,avg_gpu_memory_percent,max_gpu_memory_percent
2,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.304867074304712,30486,60972,34.9784615384615,92.8307692307692,434.601582702304,69.3169230769231,140.294012784958,37.2434287071228,140.294012784958,177.914425134659,1637.12102017984,434.601582702304,0.039039233445621,4.8412659756352,0.043347766187758,60270914,34.9784615384615,79.6,30.6830769230769,32.1,92.8307692307692,99,1580.01538461538,1605,15.4298377403846,15.673828125
2,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.361360978105044,36137,72274,41.4434782608696,87.5652173913043,511.471677290752,68.5347826086957,141.305967092514,24.5817582607269,141.305967092514,179.213701248169,2940.14769950238,511.471677290752,0.021753768372325,4.79265033210766,0.049353847856767,71513280,41.4434782608696,59.2,31.4652173913043,32.6,87.5652173913043,97,1877.78260869565,1883,11.5180188228894,11.5500214684414
1,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,22.6428571428571,94.9428571428571,487.296805847967,72.08,136.795479059219,39.7548158168793,136.795479059219,141.030937194824,1676.77798601942,487.296805847967,0.038152414411592,4.83394309520865,0.046084608460846,65828528,22.6428571428571,26.9,27.92,29,94.9428571428571,99,1642.68571428571,1691,13.3747412008282,13.768115942029
1,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,36.0506666666667,90.8533333333333,416.460678627144,73.9786666666667,160.063130617142,40.8422338962555,160.063130617142,164.338934898376,1632.13403481614,416.460678627144,0.039196001819823,4.82546570244545,0.045814581458146,65928535,36.0506666666667,69.5,26.0213333333333,27.1,90.8533333333333,99,1621.34666666667,1667,15.8334635416667,16.279296875
1,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.3334,33340,66680,41.2454545454546,83.8636363636364,549.221306810799,68.1227272727273,121.408254146576,23.9159348011017,121.408254146576,125.636707305908,2788.09925493393,549.221306810799,0.022951952784167,4.84320109415426,0.045275944811038,65998942,41.2454545454546,57.5,31.8772727272727,33.3,83.8636363636364,99,1878.81818181818,1942,11.5243708631429,11.9119180518923
2,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.333881973032987,33388,66776,22.3972602739726,92.4383561643836,479.06810029562,70.9780821917808,139.387281179428,39.0104548931122,139.387281179428,143.289444208145,1711.74625322788,479.06810029562,0.037366336104514,4.82729787384948,0.045974601653289,65993746,22.3972602739726,44.3,29.0219178082192,30.2,92.4383561643836,99,1616,1616,13.1574662107149,13.1574662107149
2,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.302648008448336,30264,60528,34.0558823529412,88.6176470588235,427.50981567886,73.4970588235294,141.582714080811,36.4391047954559,141.582714080811,144.97404050827,1661.07263994993,427.50981567886,0.038519138261581,4.85572864610368,0.044144858577848,59829786,34.0558823529412,72.6,26.5029411764706,27.2,88.6176470588235,99,1633.64705882353,1667,15.9535845588235,16.279296875
2,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.363470018518677,36348,72696,42.0217391304348,87.2608695652174,543.140622755203,65.6478260869565,133.843791007996,24.7039351463318,133.843791007996,137.899084329605,2942.68907238426,543.140622755203,0.021746421783743,4.82090765813062,0.046660063827446,71931871,42.0217391304348,66.3,34.3521739130435,35.7,87.2608695652174,97,1926.26086956522,1943,11.8153767378103,11.9180518922898
3,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.330703840714598,33070,66140,21.8608695652174,94.6231884057971,462.434728751247,71.1144927536232,143.025590181351,38.9174633026123,143.025590181351,146.854028463364,1699.49411876391,462.434728751247,0.037637778822643,4.8258053990264,0.045721197459934,65384750,21.8608695652174,45.3,28.8855072463768,30.1,94.6231884057971,99,1582.3768115942,1616,12.8837063311692,13.1574662107149
3,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.299463013860464,29946,59892,37.6424242424242,87.2727272727273,426.240622322181,71.8,140.512182235718,35.8172183036804,140.512182235718,143.320961236954,1672.15665639355,426.240622322181,0.038266258871454,4.87734736508042,0.041708408468577,59201529,37.6424242424242,79.7,28.2,29.2,87.2727272727273,99,1604,1604,15.6640625,15.6640625
