round,profile_round_used,worker_name,weight_cpu_util,weight_gpu_util,weight_throughput,weight_memory_headroom,weight_time,coef_cpu_util,coef_gpu_util,coef_throughput,coef_memory_headroom,coef_time,previous_ratio,ideal_ratio,final_ratio,allocated_samples,trained_samples,cpu_util,gpu_util,throughput,memory_headroom,time,time_gap,train_seconds,total_seconds,request_seconds,samples_per_sec_train,samples_per_sec_total,iteration_time,avg_cpu_percent,avg_gpu_util_percent,avg_memory_percent
201,4,D,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.33340000000000003,0.34367261129245186,0.3436726112924519,34369,68738,44.537777777777784,84.55555555555556,544.3582866199165,60.17333333333333,126.27345204353333,16.857105255126953,24.98375105857849,126.27345204353333,130.55697393417358,2751.3082338529757,544.3582866199165,0.023219099496820158,44.537777777777784,84.55555555555556,39.82666666666667
201,4,B,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.3333,0.34351800477076266,0.3435180047707627,34351,68702,22.442105263157895,94.92105263157895,481.14415125324746,70.18947368421053,142.78880834579468,25.141000986099243,40.08192181587219,142.78880834579468,146.87103986740112,1714.039569,481.14415125324746,0.037320225,22.442105263157895,94.92105263157895,29.810526315789478
201,4,C,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.3333,0.3128093839367854,0.3128093839367855,31280,62560,37.561538461538454,91.2,408.1557980849971,73.01230769230769,153.2748041152954,25.141000986099243,37.54892826080322,153.2748041152954,156.88790726661682,1666.0928260182986,408.1557980849971,0.038393587,37.561538461538454,91.2,26.98769230769231
201,4,D,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.33340000000000003,0.34367261129245186,0.3436726112924519,34369,68738,44.08863636363636,84,536.4548489261034,62.14545454545456,128.13380312919617,25.141000986099243,24.257416009902954,128.13380312919617,132.21310758590698,2833.6901165374784,536.4548489261034,0.022544067,44.08863636363636,84,37.85454545454544
201,4,B,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.3333,0.34351800477076266,0.3435180047707627,34351,68702,23.689333333333334,92.77333333333333,473.38623502550706,70.12933333333332,145.1288502216339,21.770851373672485,40.22523379325867,145.1288502216339,149.19943761825562,1707.9328948863374,473.38623502550706,0.037453662749775296,23.689333333333334,92.77333333333333,29.870666666666676
201,4,C,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.3333,0.3128093839367854,0.3128093839367855,31280,62560,36.991428571428564,90.34285714285714,415.08646704229153,73.09714285714286,150.71558570861816,21.770851373672485,37.71030926704407,150.71558570861816,154.30280876159668,1658.9627933566874,415.08646704229153,0.038558598,36.991428571428564,90.34285714285714,26.902857142857144
201,4,D,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.33340000000000003,0.34367261129245186,0.3436726112924519,34369,68738,43.822500000000005,89.6,533.0810936524697,62.29249999999998,128.94473433494568,21.770851373672485,24.112208127975464,128.94473433494568,133.0136480331421,2850.755088,533.0810936524697,0.022409115360571993,43.822500000000005,89.6,37.70750000000002
201,4,B,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.3333,0.34351800477076266,0.3435180047707627,34351,68702,23.3,92,471.6285868564485,70.44864864864864,145.66971111297607,21.858686923980713,39.53489112854004,145.66971111297607,149.74150848388672,1737.7561449866841,471.6285868564485,0.036810886,23.3,92,29.551351351351354
201,4,C,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.3333,0.3128093839367854,0.3128093839367855,31280,62560,37.04571429,91.57142857142857,415.69390845913176,73.01428571428572,150.49534940719604,21.858686923980713,37.68491768836975,150.49534940719604,154.11560034751892,1660.080579645452,415.69390845913176,0.038532636,37.04571429,91.57142857142857,26.985714285714284
201,4,D,0.3146,0.1436,0.1695,0.2125,0.1598,-0.3146,0.1436,0.1695,0.2125,-0.1598,0.33340000000000003,0.34367261129245186,0.3436726112924519,34369,68738,43.77727272727273,82.81818181818181,534.3577691855074,64.18181818181819,128.63666248321533,21.858686923980713,23.948508977890015,128.63666248321533,132.7058870792389,2870.2413191343558,534.3577691855074,0.022256978603987003,43.77727272727273,82.81818181818181,35.81818181818182
201,4,B,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3360511129679263,0.3360511129679263,33605,67210,23.20294117647059,92.11764705882354,475.4243892,70.58823529411765,141.3684310913086,18.616177082061768,39.45984196662903,141.3684310913086,145.3550775051117,1703.2506125300533,475.4243892,0.037509355,23.20294117647059,92.11764705882354,29.411764705882348
201,4,C,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3103284188168451,0.3103284188168451,31032,62064,34.55384615384616,92.73846153846154,406.70845227392397,73.05384615384615,152.60071349143982,18.616177082061768,37.48981237411499,152.60071349143982,156.08759760856628,1655.4897469386208,406.70845227392397,0.038649291,34.55384615384616,92.73846153846154,26.946153846153848
201,4,D,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.33340000000000003,0.3536204682152287,0.3536204682152287,35363,70726,44.76829268292684,93,527.8668859509495,62.17317073170731,133.98453640937805,18.616177082061768,24.760831356048584,133.98453640937805,138.3352825641632,2856.366128543702,527.8668859509495,0.022387732,44.76829268292684,93,37.82682926829269
201,4,B,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3360511129679263,0.3360511129679263,33605,67210,21.924285714285716,93.8,471.1758856895395,70.25142857142856,142.6431233882904,13.982723236083984,39.654091358184814,142.6431233882904,146.6451551914215,1694.9070751088461,471.1758856895395,0.037694003192190885,21.924285714285716,93.8,29.74857142857143
201,4,C,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3103284188168451,0.3103284188168451,31032,62064,34.52461538461537,93.8,412.79177393336875,72.99692307692307,150.35183334350586,13.982723236083984,37.51565718650818,150.35183334350586,153.85028553009033,1654.3492678656896,412.79177393336875,0.038675935243822866,34.52461538461537,93.8,27.00307692307693
201,4,D,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.33340000000000003,0.3536204682152287,0.3536204682152287,35363,70726,44.19268292682926,88.85365853658537,518.6365148550657,62.697560975609754,136.36911010742188,13.982723236083984,24.729529857635498,136.36911010742188,140.72442054748535,2859.9815850588284,518.6365148550657,0.02235943,44.19268292682926,88.85365853658537,37.302439024390246
201,4,B,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3360511129679263,0.3360511129679263,33605,67210,23.133333333333326,92.25,435.93213589604306,70.50416666666668,154.17537379264832,12.588599681854248,40.682669162750244,154.17537379264832,158.17200565338135,1652.0548278464148,435.93213589604306,0.038671739,23.133333333333326,92.25,29.495833333333323
201,4,C,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3103284188168451,0.3103284188168451,31032,62064,36.192307692307686,94.29230769230769,377.20189266681297,71.72,164.5378806591034,12.588599681854248,37.58283281326294,164.5378806591034,168.11198163032532,1651.3922808420573,377.20189266681297,0.038745188,36.192307692307686,94.29230769230769,28.279999999999998
201,4,D,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.33340000000000003,0.3536204682152287,0.3536204682152287,35363,70726,47.32916666666667,81.79166666666667,465.45794455315365,63.08749999999999,151.94928097724915,12.588599681854248,27.511025428771973,151.94928097724915,156.02592539787292,2570.8238387229408,465.45794455315365,0.024874345,47.32916666666667,81.79166666666667,36.91250000000001
201,4,B,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3360511129679263,0.3360511129679263,33605,67210,22.195714285714278,93.84285714285714,446.69254799378507,70.1,150.46143102645874,23.033235549926758,39.58918499946594,150.46143102645874,154.4778802394867,1697.685870545369,446.69254799378507,0.037632305,22.195714285714278,93.84285714285714,29.900000000000006
201,4,C,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.3333,0.3103284188168451,0.3103284188168451,31032,62064,35.32352941,89.55882352941177,366.01622674717885,73.08823529411765,169.56625270843506,23.033235549926758,36.96152186393738,169.56625270843506,173.19308495521545,1679.1516385193709,366.01622674717885,0.038104661715399356,35.32352941,89.55882352941177,26.911764705882355
201,4,D,0.0146,0.3436,0.2695,0.1125,0.2598,-0.0146,0.3436,0.2695,0.1125,-0.2598,0.33340000000000003,0.3536204682152287,0.3536204682152287,35363,70726,45.49777777777778,88.91111111111111,482.6625519,64.11555555555557,146.5330171585083,23.033235549926758,24.970824718475342,146.5330171585083,150.6182520389557,2832.345379,482.6625519,0.022577599,45.49777777777778,88.91111111111111,35.884444444444426
201,4,B,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.33444334864192815,0.33444334864192815,33444,66888,21.556756756756762,92.13513513513513,465.1816626026091,70.48648648648648,143.78898692131042,8.296247959136963,39.22263836860657,143.78898692131042,147.70518159866333,1705.3416797564676,465.1816626026091,0.037497742,21.556756756756762,92.13513513513513,29.513513513513512
201,4,C,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.305558349,0.305558349,30555,61110,35.63333333333333,93.85,442.7104060280846,71.63666666666667,138.03605961799622,8.296247959136963,36.7953155,138.03605961799622,141.50569939613342,1660.8092406011222,442.7104060280846,0.038488824,35.63333333333333,93.85,28.36333333333333
201,4,D,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.33340000000000003,0.3599983021263569,0.3599983021263569,36001,72002,53.57678571428572,85.05357142857143,492.0444513734402,59.35714285714288,146.33230757713318,8.296247959136963,33.79357433319092,146.33230757713318,151.24604487419128,2130.6417394647137,492.0444513734402,0.030012055,53.57678571428572,85.05357142857143,40.64285714285712
201,4,B,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.33444334864192815,0.33444334864192815,33444,66888,21.459459459459463,89.24324324324324,485.58082757092313,69.62702702702703,137.7484369277954,13.207974195480347,39.09484887123108,137.7484369277954,141.6834990978241,1710.9159372968238,485.58082757092313,0.037375573,21.459459459459463,89.24324324324324,30.372972972972967
201,4,C,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.305558349,0.305558349,30555,61110,35.668749999999996,93.96875,409.6285721123978,71.8234375,149.18392944335938,13.207974195480347,37.05872106552124,149.18392944335938,152.6158208847046,1649.0045593304521,409.6285721123978,0.038764352578997116,35.668749999999996,93.96875,28.1765625
201,4,D,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.33340000000000003,0.3599983021263569,0.3599983021263569,36001,72002,42.96521739130435,87.17391304347827,529.5200896,65.69565217391305,135.97595524787903,13.207974195480347,24.87492561340332,135.97595524787903,140.03337335586548,2894.5614197617247,529.5200896,0.022091408,42.96521739130435,87.17391304347827,34.30434782608695
201,4,B,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.33444334864192815,0.33444334864192815,33444,66888,21.575675675675676,94.24324324324324,483.43592352741484,70.44594594594595,138.35959792137146,14.216755151748657,39.113306760787964,138.35959792137146,142.28350377082825,1710.1085420641764,483.43592352741484,0.037393219,21.575675675675676,94.24324324324324,29.554054054054053
201,4,C,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.305558349,0.305558349,30555,61110,36.344444444444434,94.12698412698413,417.70575575099724,71.61904761904762,146.29915714263916,14.216755151748657,36.50492048,146.29915714263916,149.7416796684265,1674.0209043618802,417.70575575099724,0.038185063266355124,36.344444444444434,94.12698412698413,28.380952380952372
201,4,D,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.33340000000000003,0.3599983021263569,0.3599983021263569,36001,72002,43.71190476190476,90.76190476190476,545.1293958521882,65.76428571428572,132.0824019908905,14.216755151748657,25.306544303894043,132.0824019908905,136.1471972465515,2845.192893006759,545.1293958521882,0.022474728511451193,43.71190476190476,90.76190476190476,34.23571428571428
201,4,B,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.33444334864192815,0.33444334864192815,33444,66888,22.536986301369854,92.20547945205479,486.48964118381554,70.14109589041095,137.4911084,9.297608852386475,39.17809700965881,137.4911084,141.40539455413818,1707.2804731559497,486.48964118381554,0.03745516,22.536986301369854,92.20547945205479,29.858904109589044
201,4,C,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.3333,0.305558349,0.305558349,30555,61110,35.260000000000005,94.08333333333333,419.54750531349424,71.75333333333334,145.65692615509033,9.297608852386475,36.75007772445679,145.65692615509033,149.10173749923706,1662.8536260028627,419.54750531349424,0.038441504,35.260000000000005,94.08333333333333,28.246666666666652
201,4,D,0.0146,0.0436,0.3695,0.0125,0.5598,-0.0146,0.0436,0.3695,0.0125,-0.5598,0.33340000000000003,0.3599983021263569,0.3599983021263569,36001,72002,43.839130434782604,86.60869565,528.0313910648501,66.02608695652174,136.35931730270386,9.297608852386475,24.903186798095703,136.35931730270386,140.4114067554474,2891.276549614359,528.0313910648501,0.022116506925484638,43.839130434782604,86.60869565,33.97391304347826
201,4,B,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.34025,0.34025,34025,68050,22.4,93.1,473.22670375521557,74.2,143.8,22.700000000000003,39.6,143.8,147.82000000000002,1718.4343434343434,473.22670375521557,0.037243203526818515,22.4,93.1,25.799999999999997
201,4,C,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.333886,0.333886,33389,66778,35.8,91.7,448.47548690396235,76.1,148.9,22.700000000000003,37.9,148.9,152.78,1761.9525065963062,448.47548690396235,0.03632334,35.8,91.7,23.900000000000006
201,4,D,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3334,0.325864,0.325864,32586,65172,44.2,87.8,516.4183835,62,126.2,22.700000000000003,24.9,126.2,130.31,2617.3493975903616,516.4183835,0.024452218744245992,44.2,87.8,38
201,4,B,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.34025,0.34025,34025,68050,23.1,92.4,465.45827633378934,73.6,146.2,22.900000000000006,40.1,146.2,150.35999999999999,1697.007481296758,465.45827633378934,0.037713445995591476,23.1,92.4,26.400000000000006
201,4,C,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.333886,0.333886,33389,66778,36.5,92.2,439.90777338603425,75.4,151.8,22.900000000000006,38.4,151.8,155.85000000000002,1739.0104166666667,439.90777338603425,0.036802539758603134,36.5,92.2,24.599999999999994
201,4,D,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3334,0.325864,0.325864,32586,65172,43.5,86.9,505.6012412723041,61.5,128.9,22.900000000000006,25.3,128.9,132.86,2575.968379,505.6012412723041,0.024845025471061193,43.5,86.9,38.5
201,4,B,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.34025,0.34025,34025,68050,21.9,94,470.28334485141676,74.8,144.7,22.5,39.4,144.7,148.60999999999999,1727.1573604060914,470.28334485141676,0.037055107,21.9,94,25.200000000000003
201,4,C,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.333886,0.333886,33389,66778,35.2,91.3,446.3770053475936,76.5,149.6,22.5,37.7,149.6,153.72,1771.2997347480105,446.3770053475936,0.03613166,35.2,91.3,23.5
201,4,D,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3334,0.325864,0.325864,32586,65172,45,88.5,512.7616050354052,62.4,127.1,22.5,24.7,127.1,131.18,2638.542510121458,512.7616050354052,0.024255815380838396,45,88.5,37.6
201,4,B,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.34025,0.34025,34025,68050,22.7,92.8,468.2124673180129,74,145.34,22.380000000000024,39.8,145.34,149.42000000000002,1709.7989949748744,468.2124673180129,0.037431301,22.7,92.8,26
201,4,C,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3333,0.333886,0.333886,33389,66778,36.1,92,443.47190862000264,75.8,150.58,22.380000000000024,38.1,150.58,154.55,1752.7034120734907,443.47190862000264,0.03651502,36.1,92,24.200000000000003
201,4,D,0.0146,0.0436,0.1695,0.5598,0.2125,-0.0146,0.0436,0.1695,0.5598,-0.2125,0.3334,0.325864,0.325864,32586,65172,44.4,87.4,508.3619344773791,61.8,128.2,22.380000000000024,25.1,128.2,132.23,2596.494023904382,508.3619344773791,0.024648622107653596,44.4,87.4,38.2
