round,worker_name,hostname,mode,ratio_used,allocated_samples,trained_samples,cpu_util,gpu_util,throughput,memory_headroom,time,train_seconds,total_seconds,request_seconds,samples_per_sec_train,samples_per_sec_total,iteration_time,loss,acc,shard_zip_bytes,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,avg_gpu_util_percent,max_gpu_util_percent,avg_gpu_memory_used_mb,max_gpu_memory_used_mb,avg_gpu_memory_percent,max_gpu_memory_percent
1,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,21.36049382716049,82.07407407407408,453.8183499923446,72.25555555555556,146.88696479797363,43.13259959220886,146.88696479797363,151.4742271900177,1545.4667845255713,453.8183499923446,0.04139404951267645,4.810401210504504,0.04842484248424842,65828528,21.36049382716049,62.1,27.744444444444447,29.6,82.07407407407408,99.0,1544.8148148148148,1644.0,12.577876687956492,13.38544211040547
1,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,32.53493975903615,83.71084337349397,392.3147998706925,74.3144578313253,169.91456866264343,44.527467489242554,169.91456866264343,174.28994393348694,1497.0534763986852,392.3147998706925,0.04273269432748805,4.8319498438538995,0.04498949894989499,65928535,32.53493975903615,76.5,25.685542168674704,27.5,83.71084337349397,99.0,1515.0722891566265,1607.0,14.795627823795181,15.693359375
1,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.33340000000000003,33340,66680,39.2469387755102,77.65306122448979,506.3599557546754,71.45510204081633,131.684978723526,26.303486108779907,131.684978723526,136.30182909965515,2535.025194920559,506.3599557546754,0.02524326881840682,4.827822305202198,0.046475704859028195,65998942,39.2469387755102,59.9,28.54489795918367,30.5,77.65306122448979,99.0,1737.8775510204082,1878.0,10.659863528310169,11.519352266454026
2,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3342556306411238,33425,66850,21.494594594594595,92.54054054054055,460.3510707190751,71.52702702702703,145.2152590751648,39.04076099395752,145.2152590751648,149.38186860084534,1712.3129339191573,460.3510707190751,0.03732386328294218,4.835253935530726,0.044652206432311145,66063986,21.494594594594595,58.0,28.472972972972972,29.3,92.54054054054055,99.0,1645.837837837838,1646.0,13.400405779497124,13.401726103240515
2,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3051860075640917,30518,61036,35.7515625,93.984375,418.36447605083356,73.040625,145.8919279575348,36.58379101753235,145.8919279575348,149.57404804229736,1668.3891500131635,418.36447605083356,0.038347789326553826,4.84474217629978,0.04482600432531621,60334620,35.7515625,71.6,26.95937499999999,27.7,93.984375,99.0,1578.9375,1604.0,15.4193115234375,15.6640625
2,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.36055836179478457,36057,72114,44.0391304347826,82.6086956521739,530.5002605627848,70.2391304347826,135.93584275245667,25.028141260147095,135.93584275245667,140.24465799331665,2881.316644749358,530.5002605627848,0.022188068493038206,4.815933695244677,0.04606595113292842,71356813,44.0391304347826,60.6,29.760869565217398,31.1,82.6086956521739,98.0,1879.9130434782608,1880.0,11.531086569823104,11.531619947248972
3,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.327912647119997,32791,65582,22.329411764705885,94.30882352941177,469.8888545669866,69.31323529411766,139.56917548179626,38.223182678222656,139.56917548179626,143.40404510498047,1715.7650254321916,469.8888545669866,0.037254564013862235,4.832306189679702,0.04595773230459577,64827145,22.329411764705885,53.5,30.686764705882343,32.1,94.30882352941177,99.0,1622.3382352941176,1647.0,13.20907209977299,13.409868099658036
3,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3023214725967234,30232,60464,37.400000000000006,91.11764705882354,421.3007750474177,71.13529411764706,143.51741933822632,36.34984731674194,143.51741933822632,146.9472873210907,1663.3907557612108,421.3007750474177,0.03842478574708451,4.865673695647802,0.04452236041280762,59772543,37.400000000000006,77.1,28.864705882352936,29.9,91.11764705882354,99.0,1604.9117647058824,1605.0,15.672966452205882,15.673828125
3,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.36976588028327956,36977,73954,43.708333333333336,83.33333333333333,525.2800357114932,70.525,140.78966450691223,25.66708254814148,140.78966450691223,144.85318112373352,2881.27798947508,525.2800357114932,0.02220335860565872,4.770800156781211,0.05272196230088974,73155602,43.708333333333336,63.5,29.474999999999998,30.2,83.33333333333333,99.0,1876.875,1877.0,11.512451696006863,11.513218426056554
1,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,22.323188405797104,93.69565217391305,458.16855398906137,69.43043478260869,145.4923071861267,38.813714027404785,145.4923071861267,149.64413595199585,1717.434202584532,458.16855398906137,0.037249245707682135,4.811900500524448,0.04696969696969697,65828528,22.323188405797104,61.2,30.569565217391315,31.4,93.69565217391305,99.0,1622.144927536232,1646.0,13.207498188700805,13.401726103240515
1,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3333,33330,66660,36.24594594594595,91.32432432432432,411.9686618011838,74.14054054054054,161.80842423439026,39.650848388671875,161.80842423439026,165.95500373840332,1681.174620693477,411.9686618011838,0.03805263760909009,4.834116618224819,0.044584458445844584,65928535,36.24594594594595,75.6,25.859459459459462,26.4,91.32432432432432,98.0,1604.0,1604.0,15.6640625,15.6640625
1,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.33340000000000003,33340,66680,44.19090909090909,82.68181818181819,516.2594741724482,70.79090909090908,129.1598572731018,23.21309804916382,129.1598572731018,133.31565308570862,2872.5161914526075,516.2594741724482,0.022277445344686966,4.82401237836768,0.045530893821235756,65998942,44.19090909090909,65.6,29.209090909090914,30.1,82.68181818181819,99.0,1876.0,1876.0,11.50708458565908,11.507084585659081
2,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3311384659207173,33113,66226,22.06486486486487,89.70270270270271,391.9986028313534,69.4027027027027,168.9444797039032,38.898415088653564,168.9444797039032,172.9342405796051,1702.5372331768276,391.9986028313534,0.03754673271105556,4.824288081011099,0.047609700117778514,65445824,22.06486486486487,43.4,30.597297297297303,31.5,89.70270270270271,99.0,1648.0,1648.0,13.418010096075548,13.418010096075557
2,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.3101166030990039,31011,62022,37.59428571428571,92.0,344.2096495820951,73.50571428571428,180.18669748306274,37.54255771636963,180.18669748306274,183.79822373390198,1652.0451395072807,344.2096495820951,0.03870366774883467,4.84876900483291,0.044838928122279194,61312051,37.59428571428571,72.2,26.49428571428572,27.2,92.0,99.0,1604.0,1604.0,15.6640625,15.6640625
2,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.3587449309802788,35876,71752,34.88666666666666,64.7,448.8739746991168,71.12333333333333,159.84887528419495,31.2766695022583,159.84887528419495,164.29619455337524,2294.106154583346,448.8739746991168,0.027875819520729324,4.791915354700521,0.0484585795517895,70997469,34.88666666666666,42.8,28.87666666666667,29.7,64.7,99.0,1876.0,1876.0,11.507084585659078,11.507084585659081
3,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3308294074315157,33082,66164,22.601470588235287,93.6029411764706,434.15982999175867,69.62941176470588,152.39548993110657,38.2595009803772,152.39548993110657,187.5264551639557,1729.3482221300967,434.15982999175867,0.037001451625123014,4.820784454124884,0.046142917598694155,65409297,22.601470588235287,56.5,30.37058823529412,31.4,93.6029411764706,99.0,1623.764705882353,1648.0,13.220686418192102,13.418010096075557
3,C,uol-pc-8kmklh3.leeds.ac.uk,stats_only_no_weight_sync,0.299129065465037,29912,59824,37.51746031746031,93.92063492063492,387.0398116715065,74.0142857142857,154.56807851791382,36.08917307853699,154.56807851791382,192.70733618736267,1657.67167537509,387.0398116715065,0.0385568088445908,4.838827354954538,0.04667023268253544,59133039,37.51746031746031,79.5,25.98571428571429,26.8,93.92063492063492,99.0,1578.5396825396826,1604.0,15.415426587301587,15.6640625
3,D,uol-bcpqk000684.leeds.ac.uk,stats_only_no_weight_sync,0.37004152710344734,37006,74012,44.65,87.5,511.7248328126528,70.57916666666667,144.63241815567017,26.89422059059143,144.63241815567017,184.11096739768982,2751.966719046399,511.7248328126528,0.023224715535916606,4.7761976255156995,0.05074852726584878,73212926,44.65,60.1,29.420833333333334,30.3,87.5,97.0,1879.8333333333333,1880.0,11.530597640516062,11.531619947248972
4,B,uol-pc-055691.leeds.ac.uk,stats_only_no_weight_sync,0.3273957413018811,32739,65478,21.402777777777775,89.94444444444444,477.04294444797654,69.50277777777777,137.2580828666687,38.00946044921875,137.2580828666687,141.33674025535583,1722.6763870400018,477.04294444797654,0.037118613719940186,4.845133078652124,0.04433550200067198,64714536,21.402777777777775,54.1,30.49722222222223,31.2,89.94444444444444,99.0,1646.0,1646.0,13.401726103240506,13.401726103240515
